year,test,LEA,school,subject,proficiency
2017,SAGE,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.50
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.30
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,Mathematics,0.59
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.34
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.56
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.40
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.36
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.42
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.47
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.35
