LEA,school,year,e_1000,e_2100,e_2110,e_2120,e_2130,e_2140,e_2150,e_2160,e_2170,e_2180,e_2190,e_2200,e_2210,e_2212,e_2213,e_2219,e_2220,e_2230,e_2240,e_2290,e_2300,e_2310,e_2311,e_2312,e_2315,e_2316,e_2317,e_2319,e_2320,e_2321,e_2329,e_2400,e_2410,e_2490,e_2500,e_2510,e_2520,e_2530,e_2540,e_2560,e_2570,e_2580,e_2590,e_2600,e_2610,e_2620,e_2630,e_2640,e_2650,e_2660,e_2670,e_2680,e_2700,e_2710,e_2720,e_2730,e_2790,e_2795,e_2900,e_3100,e_3200,e_3300,e_3310,e_3350,e_3360,e_3370,e_3390,e_3395,e_4000,e_4100,e_4200,e_4300,e_4500,e_4502,e_4600,e_4700,e_4900,e_5000,e_5100,e_5200,e_5300,e_5900
Alpine District,Bonneville School,2018,2310138.0,,,,114.0,,,,,,,,3780.0,,,,63888.0,,,,,,,,,,,,,,,,221199.0,,,152.0,,,,,,,,127885.0,,,,,,,,,,,,,,,,130548.0,,,,,,,,,,,,,,,,1070.0,,,,,,
Alpine District,Bonneville School,2019,2334610.0,,,56539.0,49.0,95040.0,,,,,,,2870.0,,,,65592.0,,,,,,,,,,,,,,,,241946.0,,,214.0,,,,,,,,109198.0,,,,,,,,,,,,,,,,213494.0,,80436.0,,,,,,,,,9875.0,,,,,546545.0,,,,,,
Alpine District,Bonneville School,2020,2401072.0,,,909.0,21.0,107544.0,,,,,,,4020.0,,,,66722.0,,,,,,,,,,,,,,,,227478.0,,,65.0,,,,,,,,126271.0,,,,,,,,,,,,,,,,220265.0,,113420.0,,,,,,,,,,,,,,418123.0,,,,,,
Alpine District,Bonneville School,2021,2324492.0,,,63952.0,75.0,109128.0,,,,,,,5380.0,,,,64831.0,,,,,,,,,,,,,,,,241366.0,,,55.0,,,,,,,,135234.0,,,,,,,,,,,,,,,,262376.0,,,,,,112537.0,,,,,,,,,,8074.0,,,,,,
Alpine District,Brookhaven School,2018,4283.0,,,,,,,,,,,,1659.0,,,,,,,,,,,,,,,,,,,,59674.0,,,,,,,,,,,18478.0,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,139579.0,15871277.0,,114222.0,,,,,,,
Alpine District,Brookhaven School,2019,3715424.0,,,,392.0,9724.0,,,,,,,8321.0,,,,85176.0,,,,,,,,,,,,,,,,379507.0,,,255.0,,,,,,,,136840.0,,,,,,,,,,,,,,,,207258.0,,,,,,,,,,,,36820.0,1104276.0,,,1561.0,,,,,,
Alpine District,Brookhaven School,2020,4488527.0,,,44108.0,326.0,,,,,,,,7769.0,,,,100764.0,,,,,,,,,,,,,,,,420686.0,,,179.0,,,,,,,,167136.0,,,,,,,,,,,,,,,,313442.0,,,,,,,,,,,,,42026.0,,,25005.0,,,,,,
Alpine District,Brookhaven School,2021,3232296.0,,,50251.0,11.0,,,,,,,,4834.0,,,,56627.0,,,,,,,,,,,,,,,,414429.0,,,138.0,,,,,,,,161422.0,,,,,,,,,,,,,,,,231303.0,,,,,,43312.0,,,,,,,,,,8194.0,,,,,,
Alpine District,Canyon View Jr High,2017,6704713.0,,,495669.0,105.0,90751.0,,,,,,,19047.0,,,,165504.0,,,,,,,,,,,,,,,,740824.0,,,5725.0,,,,,,,,311476.0,,,,,,,,,,,,,,,,242615.0,,,,,,,21479.0,,,,,,,,,,,,,,,
Alpine District,Canyon View Jr High,2018,7292665.0,1112.0,,585278.0,,103206.0,,,,,,,19021.0,,,,177269.0,,,,,,,,,,,,,,,,775941.0,,,5768.0,,,,,,,,360244.0,,,,,,,,,,,,,,,,169340.0,,6793.0,,,,,,,,,6086.0,,,,,26514.0,,,,,,
Alpine District,Canyon View Jr High,2019,5023785.0,,,440903.0,,,,,,,,,15108.0,,,,105521.0,,,,,,,,,,,,,,,,671897.0,,,7881.0,,,,,,,,311139.0,,,,,,,,,,,,,,,,212360.0,,,32148.0,,,,,,,,23138.0,,,,,168621.0,,,,,,
Alpine District,Canyon View Jr High,2020,5106163.0,,,508584.0,260.0,,,,,,,,13726.0,,,,141453.0,,,,,,,,,,,,,,,,713170.0,,,6613.0,,,,,,,,359617.0,,,,,,,,,,,,,,,,227981.0,,8479.0,38211.0,,,,,,,,,,,,,163058.0,,,,,,
Alpine District,Canyon View Jr High,2021,5283234.0,,,519612.0,,91882.0,,,,,,,11242.0,,,,140661.0,,,,,,,,,,,,,,,,728148.0,,,5384.0,,,,,,,,338184.0,,,,,,,,,,,,,,,,197760.0,,,35693.0,,,,,,,,2895.0,,,,,391203.0,,,,,,
Alpine District,Cascade School,2019,2900011.0,,,,109.0,83492.0,,,,,,,2286.0,,,,70137.0,,,,,,,,,,,,,,,,303019.0,,,223.0,,,,,,,,128907.0,,,,,,,,,,,,,,,,149688.0,,,,,,,,,,,,692943.0,1252860.0,,,11101.0,,,,,,
Alpine District,Cascade School,2020,3162578.0,,,,808.0,93083.0,,,,,,,4320.0,,,,72925.0,,,,,,,,,,,,,,,,304183.0,,,38.0,,,,,,,,118981.0,,,,,,,,,,,,,,,,173293.0,,,,,,,,,,,,177543.0,17382362.0,,,,,,,,,
Alpine District,Cascade School,2021,2915971.0,,,43985.0,179.0,,,,,,,,4647.0,,,,77706.0,,,,,,,,,,,,,,,,391442.0,,,136.0,,,,,,,,166199.0,,,,,,,,,,,,,,,,185991.0,,,,,,,,,,,,,533998.0,,,51719.0,,,,,,
Alpine District,Cedar Ridge School,2019,3671560.0,,,,123.0,84101.0,,,,,,,3372.0,,,,70247.0,,,,,,,,,,,,,,,,367235.0,,,119.0,,,,,,,,139408.0,,,,,,,,,,,,,,,,150694.0,,,,,,,,,,,18383.0,,,,,45750.0,,,,,,
Alpine District,Cedar Ridge School,2020,3898136.0,,,72650.0,787.0,93065.0,,,,,,,2819.0,,,,65473.0,,,,,,,,,,,,,,,,305545.0,,,56.0,,,,,,,,142171.0,,,,,,,,,,,,,,,,147132.0,,,,,,,,,,,3725.0,,,,,101269.0,,,,,,
Alpine District,Cedar Ridge School,2021,3558925.0,,,73238.0,310.0,190408.0,,,,,,,4504.0,,,,60975.0,,,,,,,,,,,,,,,,377637.0,,,75.0,,,,,,,,155880.0,,,,,,,,,,,,,,,,180131.0,,,,,,29417.0,,,,,,,,,,42696.0,,,,,,
Alpine District,Cedar Valley High,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971500.0,,311090.0,35330980.0,,,,,,,,,
Alpine District,Cedar Valley High,2019,283213.0,,,75816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366664.0,,,1652.0,,,,,,,,76392.0,,,,,,,,,,,,,,,,1191.0,,,,,,,,,,,,254054.0,32045681.0,,,1418923.0,,,,,,
Alpine District,Cedar Valley High,2020,8709276.0,,,593829.0,282.0,,,,,,,,19204.0,,,,216338.0,,,,,,,,,,,,,,,,947598.0,,,6551.0,,,,,,,,514256.0,,,,,,,,,,,,,,,,295342.0,,58973.0,244915.0,,,,,,,,,143569.0,4712939.0,,,28952.0,,,,,,
Alpine District,Cedar Valley High,2021,9873895.0,,,693761.0,846.0,75696.0,,,,,,,19066.0,,,,191465.0,,,,,,,,,,,,,,,,1075928.0,,,41109.0,,,,,,,,537042.0,,,,,,,,,,,,,,,,326908.0,,,351108.0,,,,,,,,3100.0,,1030534.0,,,3306.0,,,,,,
